Name,RA(2000),DEC(2000),redsh,Vmag,Radio Fl,X Fl(mJ,Class
Q 2133-4534,21 36 52.8,-45 21 22,0.868,19.6,0.,0.000,QSO radio quiet
HB 12,21 36 55.5,-45 39 31,0.985,18.2,0.,0.000,QSO radio quiet
Q 2133-4349,21 36 56.6,-43 35 55,1.850,20.0,0.,0.000,QSO radio quiet
HA  7,21 36 57.4,-43 45 16,1.560,18.9,0.,0.000,QSO radio quiet
Q 2133-4417,21 36 59.6,-44 04 07,2.838,19.9,0.,0.000,QSO radio quiet
Q 2133-4356,21 36 59.3,-43 42 35,0.210,19.8,0.,0.000,Seyfert type 2
S52133+837,21 30 10.3,83 57 21,0.000,21.0,561.,0.000,Radio Galaxy
Q 2133-4617A,21 37 06.5,-46 04 20,1.571,20.6,0.,0.000,QSO radio quiet
Q 2133-4533,21 37 05.5,-45 20 29,0.311,19.2,0.,0.000,Seyfert type 2
Q 2133-4456,21 37 06.6,-44 42 57,2.745,19.9,0.,0.000,QSO radio quiet
Q 2133-4617B,21 37 08.7,-46 03 53,0.844,19.4,0.,0.000,QSO radio quiet
Q 2133-4708,21 37 14.4,-46 54 37,1.097,19.4,0.,0.000,QSO radio quiet
MS 21340+0018,21 36 34.7,00 31 39,0.805,19.9,0.,0.034,QSO radio quiet
H 87,21 37 17.1,-46 33 17,3.065,19.6,0.,0.000,QSO radio quiet
OX57,21 36 38.5,00 41 54,1.936,18.0,12366.,0.172,QSO radio loud flat
1Jy2134+004,21 36 38.5,00 41 54,1.936,16.8,12366.,0.172,QSO radio loud flat
PKS 2134+004,21 36 38.7,00 41 55,1.936,18.0,12366.,0.172,QSO radio loud flat
MS 21341-1518,21 36 52.0,-15 05 16,0.178,18.1,0.,0.098,Seyfert type 1
Q 2134-4351,21 37 19.4,-43 37 57,0.466,19.6,0.,0.000,Galaxy unbarred
Q 2134-4506,21 37 21.3,-44 52 33,0.880,20.3,0.,0.000,QSO radio quiet
S52134+846,21 29 24.4,84 53 29,0.000,21.0,323.,0.000,Radio Galaxy
Q 2134-4334,21 37 22.8,-43 21 13,0.604,19.6,0.,0.000,QSO radio quiet
21342-149,21 36 57.3,-14 42 26,2.200,18.0,0.,0.000,QSO radio quiet
Q 2134-4620,21 37 28.4,-46 06 37,1.351,19.8,0.,0.000,QSO radio quiet
Q 2134-4257,21 37 24.1,-42 44 15,2.610,19.1,0.,0.000,QSO radio quiet
Q 2134-4350,21 37 29.2,-43 36 38,1.550,20.0,0.,0.000,QSO radio quiet
Q 2134-4352,21 37 30.0,-43 39 09,1.370,20.6,0.,0.000,QSO radio quiet
Q 2134-4602A,21 37 34.2,-45 48 46,1.292,20.5,0.,0.000,QSO radio quiet
Q 2134-4516,21 37 33.2,-45 03 27,1.106,20.1,0.,0.000,QSO radio quiet
Q 2134-4525,21 37 45.3,-45 12 18,0.137,19.6,0.,0.000,Seyfert type 2
Q 2134-4645,21 37 52.2,-46 31 33,0.704,18.8,0.,0.000,QSO radio quiet
Q 2134-4239,21 37 47.9,-42 26 13,1.804,17.6,0.,0.000,QSO radio quiet
Q 2134-4403,21 37 59.1,-43 50 05,1.505,19.5,0.,0.000,QSO radio quiet
Q 2134-4602B,21 38 02.0,-45 49 06,1.340,20.2,0.,0.000,QSO radio quiet
Q 2134-4359,21 38 00.4,-43 45 35,0.489,19.2,0.,0.000,Galaxy unbarred
Q 2134-4443,21 38 01.5,-44 29 28,2.530,19.4,0.,0.000,QSO radio quiet
Q 2134-4353,21 38 00.5,-43 40 08,2.240,19.6,0.,0.000,QSO radio quiet
Q 2134-4601,21 38 05.0,-45 48 17,0.528,17.9,0.,0.000,QSO radio quiet
HBQS2134-46,21 38 05.0,-45 48 17,0.528,17.9,0.,0.000,QSO radio quiet
Q 2134-4401,21 38 04.3,-43 47 40,0.249,19.9,0.,0.000,Seyfert type 2
Q 2134-4521,21 38 07.6,-45 08 19,4.360,20.1,0.,0.000,QSO radio quiet
OX-158,21 37 44.0,-14 32 55,0.200,15.5,1357.,1.414,QSO radio loud steep
Q 2135-4611,21 38 15.2,-45 58 04,1.903,19.8,0.,0.000,QSO radio quiet
1Jy2135-147,21 37 45.1,-14 32 55,0.200,15.5,1357.,1.414,QSO radio loud steep
PKS 2135-14,21 37 45.2,-14 32 55,0.200,15.5,1357.,1.414,QSO radio loud steep
OX-258,21 37 49.9,-20 42 31,0.635,19.4,1502.,0.000,QSO radio loud steep
PKS 2135-209,21 37 50.0,-20 42 32,0.635,19.4,1502.,0.000,QSO radio loud steep
1Jy2135-209,21 37 50.0,-20 42 33,0.635,20.4,1550.,0.000,QSO radio loud steep
H 15,21 38 16.7,-45 35 59,1.832,20.0,0.,0.000,QSO radio quiet
Q 2135-4547,21 38 17.8,-45 33 30,1.845,20.2,0.,0.000,QSO radio quiet
Q 2135-4346,21 38 15.6,-43 32 40,3.100,20.4,0.,0.000,QSO radio quiet
Q 2135-4632,21 38 21.4,-46 18 54,2.214,18.6,0.,0.000,QSO radio quiet
Q 2135-4402,21 38 23.7,-43 48 42,0.929,18.7,0.,0.000,QSO radio quiet
Q 2135-4648,21 38 27.9,-46 34 52,2.110,18.6,0.,0.000,QSO radio quiet
Q 2135-4427,21 38 25.5,-44 14 21,3.578,19.2,0.,0.000,QSO radio quiet
Q 2135-4324,21 38 24.3,-43 10 45,1.935,18.9,0.,0.000,QSO radio quiet
Q 2135-4243,21 38 23.9,-42 30 16,0.250,16.9,0.,0.113,QSO radio quiet
Q 2135-4530,21 38 27.6,-45 17 17,0.308,17.4,0.,0.000,QSO radio quiet
Q 2135-4620,21 38 33.8,-46 07 14,0.505,18.2,0.,0.000,QSO radio quiet
HBQS2135-46,21 38 33.9,-46 07 14,0.505,18.2,0.,0.000,QSO radio quiet
HA  3,** ** 0  N,** ** 0,1.469,17.9,0.,0.018,QSO radio quiet
Q 2135-4354,21 38 33.9,-43 41 09,1.700,18.9,0.,0.000,QSO radio quiet
21354-145,21 38 11.6,-14 18 38,1.900,19.6,0.,0.000,QSO radio quiet
Q 2135-4523,21 38 41.4,-45 10 23,1.097,18.4,51.,0.000,QSO radio loud
Q 2135-4559,21 38 42.3,-45 45 28,0.568,19.6,0.,0.000,Galaxy unbarred
Q 2135-4529,21 38 41.8,-45 16 22,2.148,20.4,0.,0.000,QSO radio quiet
H 54,21 38 52.6,-43 47 16,0.461,18.7,0.,0.000,QSO radio quiet
PKS 2135-248,21 38 37.2,-24 39 55,0.819,18.3,372.,0.000,QSO radio loud steep
21357-147,21 38 29.7,-14 31 36,2.100,19.0,0.,0.000,QSO radio quiet
RX J21382+0112,21 38 19.0,01 12 22,0.350,17.0,0.,0.097,Seyfert type 1
Q 2135-4401,21 38 58.3,-43 47 49,0.842,19.8,0.,0.000,QSO radio quiet
S52135+842,21 31 38.9,84 30 12,0.000,20.0,276.,0.000,QSO radio loud steep
Q 2135-395,21 39 01.5,-39 21 18,1.460,18.3,0.,0.000,QSO radio quiet
MS 21360-2307,21 38 50.8,-22 53 34,0.646,17.0,0.,0.071,QSO radio quiet
S52136+824,21 33 33.9,82 39 06,2.350,19.6,509.,0.000,QSO radio loud flat
S5 2136+82,21 33 34.2,82 39 06,2.350,18.7,509.,0.000,QSO radio loud flat
MH 2136-428,21 39 24.1,-42 35 21,0.000,16.2,115.,0.075,BL Lac
Q 2136-4648,21 39 34.1,-46 35 12,1.124,18.6,0.,0.000,QSO radio quiet
IRAS 21363-2700,21 39 13.8,-26 46 28,0.031,13.6,0.,0.000,Galaxy unbarred
Q 2136-4538,21 39 41.3,-45 24 28,1.695,19.0,0.,0.000,QSO radio quiet
Q 2136-4347,21 39 39.4,-43 33 54,1.510,19.0,0.,0.000,QSO radio quiet
HB 32,21 39 40.0,-42 47 48,1.343,17.8,0.,0.081,QSO radio quiet
HBQS2136-43,21 39 40.3,-42 47 46,1.343,17.8,0.,0.081,QSO radio quiet
1Jy2136+141,21 39 01.2,14 23 36,2.427,18.5,1110.,0.146,QSO radio loud flat
PKS 2136+141,21 39 01.3,14 23 35,2.427,18.9,1110.,0.146,QSO radio loud flat
Q 2136-4328,21 39 52.8,-43 15 10,0.250,18.1,0.,0.000,Seyfert type 2
Q 2136-4344,21 39 57.1,-43 31 02,0.485,18.0,0.,0.000,QSO radio quiet
HBQS2136-43,21 39 57.3,-43 31 01,0.485,18.0,0.,0.000,QSO radio quiet
Q 2136-4529,21 40 05.3,-45 15 24,1.174,18.9,0.,0.000,QSO radio quiet
Q 2136-4348,21 40 05.9,-43 34 27,3.560,20.4,0.,0.000,QSO radio quiet
Q 2136-4517,21 40 11.9,-45 03 49,1.105,20.6,0.,0.000,QSO radio quiet
Q 2137-4620,21 40 18.8,-46 06 33,2.495,18.9,0.,0.000,QSO radio quiet
H  8,21 40 17.5,-43 40 50,1.915,19.6,0.,0.000,QSO radio quiet
Q 2137-4523,21 40 20.8,-45 09 58,1.645,20.1,0.,0.000,QSO radio quiet
Q 2137-4520,21 40 24.7,-45 06 55,2.113,20.4,0.,0.000,QSO radio quiet
RX J21397+0246,21 39 44.2,02 46 05,0.260,15.5,0.,0.237,Seyfert type 1
Q 2137-4406,21 40 25.4,-43 53 02,2.250,20.1,0.,0.000,QSO radio quiet
Q 2137-4529,21 40 38.6,-45 15 49,1.438,20.0,0.,0.000,QSO radio quiet
1ES 2137+241,21 39 42.3,24 24 02,0.037,0.0,1.,5.261,Seyfert type 1
Q 2137-4336,21 40 42.7,-43 23 17,2.310,19.3,0.,0.000,QSO radio quiet
Q 2137-4343,21 40 48.4,-43 29 27,1.964,18.7,0.,0.000,QSO radio quiet
Q 2137-4713,21 41 00.3,-46 59 30,3.840,20.7,0.,0.000,QSO radio quiet
Q 2137-4356,21 40 56.5,-43 43 12,2.039,19.6,0.,0.000,QSO radio quiet
Q 2137-4702,21 41 03.4,-46 48 23,3.380,19.8,0.,0.000,QSO radio quiet
HB 31,21 41 03.1,-44 22 09,0.630,18.3,0.,0.000,QSO radio quiet
HBQS2137-44,21 41 03.2,-44 22 09,0.630,18.3,0.,0.000,QSO radio quiet
Q 2137-4629,21 41 07.3,-46 15 58,2.200,20.4,0.,0.000,QSO radio quiet
Q 2137-4645,21 41 07.8,-46 31 42,2.800,19.7,0.,0.000,QSO radio quiet
Q 2138-4611,21 41 14.4,-45 57 30,2.290,19.2,0.,0.000,QSO radio quiet
Q 2138-4348,21 41 22.2,-43 34 53,2.300,20.2,0.,0.000,QSO radio quiet
Q 2138-4345,21 41 25.1,-43 32 09,1.320,19.1,0.,0.000,QSO radio quiet
Q 2138-4604,21 41 28.3,-45 51 13,0.599,18.4,0.,0.000,QSO radio quiet
Q 2138-4512,21 41 28.6,-44 58 47,2.164,19.3,0.,0.000,QSO radio quiet
HB 25,21 41 29.6,-44 16 34,1.104,17.7,49.,0.000,QSO radio loud
Q 2138-4405,21 41 36.1,-43 51 35,0.870,19.3,0.,0.000,QSO radio quiet
Q 2138-4527,21 41 43.1,-45 13 48,2.357,19.5,0.,0.000,QSO radio quiet
B06.02,21 41 44.4,-38 40 41,3.100,18.9,0.,0.000,QSO radio quiet
Q 2138-4650,21 41 55.7,-46 36 50,0.762,18.0,0.,0.000,QSO radio quiet
HBQS2138-46,21 41 55.8,-46 36 52,0.762,18.0,0.,0.000,QSO radio quiet
Q 2138-4355,21 41 54.8,-43 41 40,2.580,20.9,0.,0.000,QSO radio quiet
Q 2138-4427,21 41 59.5,-44 13 26,3.170,18.2,0.,0.000,QSO radio quiet
PKS 2138-377,21 41 52.4,-37 29 12,0.425,18.1,350.,0.000,QSO radio loud flat
Q 2138-4252,21 42 01.2,-42 38 58,2.302,19.5,0.,0.000,QSO radio quiet
Q 2138+0220,21 41 26.2,02 33 45,0.234,20.3,0.,0.000,Galaxy unbarred
Q 2138-4526,21 42 08.3,-45 12 22,1.197,19.9,0.,0.000,QSO radio quiet
Q 2138-4516,21 42 09.0,-45 02 33,2.013,20.3,0.,0.000,QSO radio quiet
Q 2139-4520A,21 42 12.2,-45 06 56,2.210,19.8,0.,0.000,QSO radio quiet
Q 2139-4332,21 42 10.9,-43 18 57,0.524,19.9,0.,0.000,Galaxy unbarred
Q 2139+0127,21 41 42.1,01 40 40,1.417,15.8,0.,0.000,QSO radio quiet
Q 2139-4433,21 42 22.2,-44 19 30,3.220,20.2,0.,0.000,QSO radio quiet
Q 2139-4614,** ** 0  N,** ** 0,3.340,19.8,0.,0.000,QSO radio quiet
Q 2139-4434,21 42 25.9,-44 20 18,3.230,17.7,0.,0.000,QSO radio quiet
H 64,21 42 27.9,-45 38 58,2.740,20.4,0.,0.000,QSO radio quiet
Q 2139-4332,21 42 32.1,-43 18 22,2.185,18.1,0.,0.000,QSO radio quiet
Q 2139-4520B,21 42 37.5,-45 06 30,1.394,19.9,0.,0.000,QSO radio quiet
Q 2139-4521,21 42 39.5,-45 07 47,1.671,20.5,0.,0.000,QSO radio quiet
Q 2139-4311,21 42 40.5,-42 57 53,1.350,18.3,0.,0.000,QSO radio quiet
Q 2139-4604,21 42 44.9,-45 51 11,2.429,20.4,0.,0.000,QSO radio quiet
Q 2139-4355,21 42 43.1,-43 42 02,1.453,19.3,0.,0.000,QSO radio quiet
Q 2139-4613,21 42 58.7,-45 59 24,1.308,18.1,0.,0.000,QSO radio quiet
Q 2139-4324,21 42 58.3,-43 10 59,4.460,20.4,0.,0.000,QSO radio quiet
H 52,21 42 58.8,-43 22 34,1.379,20.7,0.,0.000,QSO radio quiet
B06.03,21 42 57.3,-41 47 60,2.400,19.0,0.,0.000,QSO radio quiet
Q 2139-4504A,21 43 04.1,-44 50 36,3.060,20.1,0.,0.000,QSO radio quiet
Q 2139-4303,21 43 03.7,-42 49 27,0.320,17.2,0.,0.000,QSO radio quiet
Q 2139-4504B,21 43 07.0,-44 50 48,3.250,20.3,0.,0.000,QSO radio quiet
PKS 2140-048,21 42 36.8,-04 37 44,0.344,17.7,600.,0.420,QSO radio loud flat
Q 2140-4406,21 43 10.5,-43 52 55,3.180,20.2,0.,0.000,QSO radio quiet
Q 2140-4620,21 43 16.6,-46 06 18,0.548,18.5,0.,0.000,QSO radio quiet
Q 2140-4542,21 43 22.5,-45 28 45,0.171,16.1,0.,0.000,QSO radio quiet
HBQS2140-45,21 43 22.6,-45 28 44,0.171,16.1,0.,0.000,QSO radio quiet
Q 2140+0222,21 42 47.4,02 35 49,1.331,17.7,0.,0.000,QSO radio quiet
Q 2140-4552,21 43 28.9,-45 38 51,1.688,18.1,0.,0.000,QSO radio quiet
HBQS2140-45,21 43 29.1,-45 38 52,1.688,18.1,0.,0.000,QSO radio quiet
MC 2140+102,21 42 55.3,10 31 23,1.280,18.5,173.,0.000,QSO radio loud steep
1Jy2140-816,21 47 24.7,-81 32 14,0.000,0.0,1000.,0.000,unidentified
OX 169,21 43 35.5,17 43 49,0.213,15.7,500.,0.261,QSO radio loud flat
2E 2141+0400,21 44 07.8,04 13 25,0.401,20.1,0.,0.078,Galaxy unbarred
MG 2144+0358,21 44 11.4,03 58 55,1.800,19.9,77.,0.000,QSO radio loud
Q 2141+0223,21 44 19.5,02 37 16,0.139,17.7,0.,0.000,Galaxy unbarred
2E 2141+0402,21 44 23.0,04 16 27,0.463,17.1,0.,0.140,QSO radio quiet
2142.1-1571,21 44 49.3,-15 28 37,2.200,21.1,0.,0.000,QSO radio quiet
PKS 2142-75,21 47 12.6,-75 36 11,1.139,17.3,1320.,0.000,QSO radio loud flat
1Jy2142-758,21 47 12.6,-75 36 13,1.139,17.3,1320.,0.000,QSO radio loud flat
Q 2142-4449,21 45 27.4,-44 35 42,1.025,17.9,0.,0.000,QSO radio quiet
UGC 11805SW,21 44 17.8,42 15 49,0.018,15.2,0.,0.000,Liner
PC 2142+0011,21 45 09.3,00 24 51,0.227,18.2,0.,0.000,Seyfert type 1
Q 2142-4318,21 45 51.4,-43 05 05,1.118,18.2,0.,0.000,QSO radio quiet
2142.8-1566,21 45 30.7,-15 25 41,2.050,20.9,0.,0.000,QSO radio quiet
MC 2142+110,21 45 18.8,11 15 27,0.550,18.7,363.,0.175,QSO radio loud flat
2143.0-1529,21 45 43.7,-15 03 45,1.866,20.5,0.,0.000,QSO radio quiet
IRAS 21431-0432,21 45 45.8,-04 18 04,0.103,14.8,0.,0.000,Seyfert type 2
21431+040,21 45 41.9,04 17 51,2.000,18.9,0.,0.000,QSO radio quiet
MS 21432+1429,21 45 40.7,14 43 25,1.387,20.4,50.,0.039,QSO radio loud steep
MS2143.4+0704,21 45 52.3,07 19 28,0.237,18.0,50.,0.770,BL Lac
PKS 2143-156,21 46 23.0,-15 25 44,0.700,17.3,508.,0.203,QSO radio loud steep
Q 2143+0223,21 46 14.8,02 37 21,1.277,18.5,0.,0.000,QSO radio quiet
2143-156,21 46 28.5,-15 27 11,2.055,18.2,0.,0.000,QSO radio quiet
2144.0-1589,21 46 43.4,-15 39 34,2.300,20.9,0.,0.000,QSO radio quiet
PKS 2144-17,21 47 03.2,-17 40 11,0.684,19.2,330.,0.000,QSO radio loud steep
PKS 2144-362,21 47 31.1,-36 01 52,2.081,18.2,310.,0.000,QSO radio loud flat
Q 2144+0222,21 47 05.1,02 36 43,0.156,20.7,0.,0.000,Galaxy unbarred
1Jy2144+092,21 47 10.1,09 29 47,1.113,18.5,1010.,0.000,QSO radio loud flat
PKS 2144+092,21 47 10.2,09 29 46,1.113,18.5,1010.,0.000,QSO radio loud flat
MS 21449-2012,21 47 45.0,-19 58 09,0.102,16.7,0.,0.125,Seyfert type 1
2145.1-1548,21 47 49.9,-15 14 46,2.200,20.5,0.,0.000,QSO radio quiet
Q 2145+0122,21 47 43.4,01 36 12,0.189,20.3,0.,0.000,Galaxy unbarred
IC 5135,21 48 19.5,-34 57 05,0.016,13.9,70.,0.000,Seyfert type 1
TEX 2145+082,21 47 55.3,08 30 12,2.610,19.2,366.,0.000,QSO radio loud flat
4C06.69,21 48 05.4,06 57 38,0.990,16.5,4570.,0.907,QSO radio loud flat
1Jy2145+067,21 48 05.4,06 57 38,0.990,16.5,4570.,0.907,QSO radio loud flat
PKS 2145+06,21 48 05.5,06 57 39,0.990,16.5,4570.,0.907,QSO radio loud flat
A09.40,21 49 24.7,-33 41 32,2.500,18.4,0.,0.000,QSO radio quiet
RX J21489+0405,21 48 58.8,04 05 10,0.290,16.5,0.,0.136,Seyfert type 1
PKS 2146-13,21 49 28.7,-13 04 26,1.800,19.7,670.,0.000,QSO radio loud steep
NGC 7135,21 49 47.2,-34 52 59,0.007,12.2,4.,0.000,Liner
Q 2147+0218,21 49 32.8,02 32 08,0.223,19.1,0.,0.000,Galaxy unbarred
MG 2149+0756,21 49 35.3,07 56 25,0.520,18.2,324.,0.000,QSO radio loud steep
A09.70,21 50 15.3,-37 01 42,2.700,18.0,0.,0.000,QSO radio quiet
A09.22,21 51 23.6,-33 33 08,2.130,17.9,0.,0.000,QSO radio quiet
A09.02,21 51 41.4,-36 02 16,2.290,18.0,0.,0.000,QSO radio quiet
PKS 2149-306,21 51 55.4,-30 27 54,2.340,17.9,1190.,1.091,QSO radio loud flat
1Jy2149-306,21 51 55.4,-30 27 54,2.340,18.4,1190.,1.091,QSO radio loud flat
Q 2149+0221,21 51 33.9,02 35 12,2.304,18.1,0.,0.000,QSO radio quiet
PKS 2149+069,21 51 31.5,07 09 28,1.364,17.7,880.,0.000,QSO radio loud flat
PKS 2149+056,21 51 37.8,05 52 14,0.740,18.9,1040.,0.000,Radio Galaxy
1Jy2149+056,21 51 37.8,05 52 12,0.740,20.4,1040.,0.000,Radio Galaxy
1Jy2149-287,21 52 03.8,-28 28 19,0.000,19.4,1360.,0.000,Radio Galaxy
PKS 2149+21,21 51 45.9,21 30 13,1.538,18.7,358.,0.000,QSO radio loud steep
1Jy2150+173,21 52 24.7,17 34 37,0.000,18.9,1020.,0.000,BL Lac
PKS 2149+173,21 52 24.8,17 34 38,0.000,18.9,1020.,0.000,BL Lac
Q 2150-1932,21 53 19.3,-19 18 41,2.320,18.7,0.,0.000,QSO radio quiet
Q 2150-1753,21 53 22.7,-17 39 42,2.070,19.0,0.,0.000,QSO radio quiet
Q 2150-1943,21 53 25.6,-19 29 01,2.000,18.2,0.,0.000,QSO radio quiet
2150-52,21 54 06.9,-51 50 12,0.000,22.2,1169.,0.000,Radio Galaxy
1Jy2150-520,21 54 07.0,-51 50 14,0.000,18.0,1210.,0.000,Radio Galaxy radio l
Q 2150-1947,21 53 36.3,-19 33 17,2.580,18.7,0.,0.000,QSO radio quiet
PKS 2150+05,21 53 24.5,05 36 19,1.980,18.0,371.,0.000,QSO radio loud steep
Q 2150-2153,21 53 44.0,-21 39 21,2.150,18.9,0.,0.000,QSO radio quiet
Q 2151-1922,21 54 22.3,-19 08 39,2.230,18.4,0.,0.000,QSO radio quiet
Q 2151-1833,21 54 24.9,-18 18 55,2.090,19.0,0.,0.000,QSO radio quiet
Q 2151-1704,21 54 30.5,-16 49 49,2.410,18.4,0.,0.000,QSO radio quiet
Q 2152-2149,21 54 50.1,-21 35 46,1.970,19.2,62.,0.000,QSO radio loud
TEX 2152+172,21 54 39.9,17 27 39,1.020,17.7,324.,0.000,QSO radio loud flat
2152-197,21 55 06.9,-19 28 26,2.240,19.7,0.,0.000,QSO radio quiet
Q 2152-1902,21 55 14.4,-18 47 54,2.800,18.8,0.,0.000,QSO radio quiet
Q 2152-1936,21 55 21.7,-19 22 38,1.330,18.5,0.,0.000,QSO radio quiet
Q 2152-2107,21 55 24.8,-20 53 09,0.380,18.6,0.,0.000,QSO radio quiet
2152-177,21 55 41.7,-17 32 39,0.260,19.1,0.,0.000,Galaxy unbarred
2152-69,21 57 05.7,-69 41 23,0.027,14.0,12442.,1.273,QSO radio loud steep
PKS 2153-69,21 57 05.8,-69 41 23,0.027,14.0,12442.,1.273,QSO radio loud steep
1Jy2152-699,21 57 06.9,-69 41 10,0.029,13.8,12280.,1.273,QSO radio loud steep
Q 2153-2052,21 55 50.4,-20 38 14,1.590,18.9,0.,0.000,QSO radio quiet
A09.64,21 56 03.0,-36 15 15,0.115,16.4,0.,0.000,Seyfert type 1
Q 2153-2056,21 55 53.5,-20 41 46,1.849,17.6,0.,0.000,QSO radio quiet
Q 2153-2142,21 55 58.2,-21 28 02,2.430,19.1,0.,0.000,QSO radio quiet
PKS 2153-219,21 55 59.9,-21 44 32,0.098,16.7,60.,0.000,Radio Galaxy radio l
Q 2153-1902,21 56 05.4,-18 48 27,2.230,19.0,0.,0.000,QSO radio quiet
2153-174,21 56 11.4,-17 15 36,2.300,18.9,0.,0.000,QSO radio quiet
Q 2153-2132,21 56 15.2,-21 17 45,2.280,18.7,0.,0.000,QSO radio quiet
Q 2153-1724,21 56 16.8,-17 09 52,2.080,19.0,0.,0.000,QSO radio quiet
2153-193,21 56 27.7,-19 03 57,0.540,19.5,0.,0.000,Galaxy unbarred
Q 2153-2005,21 56 29.0,-19 50 53,2.270,18.9,0.,0.000,QSO radio quiet
1Jy2153+377,21 55 52.2,38 00 29,0.292,19.3,1580.,0.394,Radio Galaxy radio l
S42153+377,21 55 52.2,38 00 29,0.292,19.3,1540.,0.394,Radio Galaxy radio l
3C438,21 55 52.2,38 00 30,0.290,19.2,1537.,0.394,Radio Galaxy radio l
PKS 2153-204,21 56 33.8,-20 12 30,1.309,17.0,170.,0.000,QSO radio loud flat
MARK  516,21 56 22.3,07 22 00,0.028,15.0,0.,0.056,Seyfert type 1
2154-212,21 56 53.1,-21 03 25,0.550,19.2,0.,0.000,QSO radio quiet
Q 2154-1800,21 56 52.8,-17 46 09,2.980,18.4,0.,0.000,QSO radio quiet
2154-194,21 56 57.0,-19 12 11,1.512,18.2,0.,0.000,QSO radio quiet
PKS 2154-18,21 56 57.3,-18 13 46,0.668,19.5,530.,0.000,QSO radio loud steep
S52154+726,21 54 54.8,72 51 39,0.000,0.0,312.,0.000,unidentified
Q 2154-1956,21 56 59.4,-19 42 34,2.540,19.2,0.,0.000,QSO radio quiet
Q 2154-2005,21 57 05.9,-19 51 15,2.035,17.8,0.,0.000,QSO radio quiet
Q 2154-1822,21 57 10.6,-18 08 40,2.070,18.4,0.,0.000,QSO radio quiet
PB 5014,21 57 08.0,01 21 43,0.220,19.2,0.,0.071,Seyfert type 1
Q 2154-1837,21 57 20.9,-18 23 08,2.320,18.9,0.,0.000,QSO radio quiet
Q 2154-2031,21 57 23.8,-20 16 55,1.950,18.5,0.,0.000,QSO radio quiet
Q 2154-1908,21 57 23.6,-18 54 24,1.631,19.6,0.,0.097,QSO radio quiet
Q 2154-2105,21 57 25.1,-20 51 06,0.575,17.3,0.,0.077,QSO radio quiet
PKS 2154-325,21 57 37.7,-32 19 24,1.812,18.6,280.,0.000,QSO radio loud steep
PKS 2154-183,21 57 29.0,-18 07 03,1.423,20.3,590.,0.000,QSO radio loud steep
Q 2154-1801,21 57 29.4,-17 47 22,2.180,18.8,0.,0.000,QSO radio quiet
MC 2154+100,21 57 12.9,10 14 24,0.761,18.7,360.,0.111,QSO radio loud flat
PKS 2154-205,21 57 35.9,-20 17 47,2.000,18.1,45.,0.000,QSO radio loud
A09.44,21 57 54.0,-34 20 60,1.880,16.9,0.,0.000,QSO radio quiet
2154-210,21 57 44.2,-20 50 42,0.410,19.0,0.,0.000,Galaxy unbarred
2154-170,21 57 44.0,-16 51 19,0.360,19.0,0.,0.000,Galaxy unbarred
1Jy2155-152,21 58 06.2,-15 01 09,0.672,19.4,1770.,0.192,QSO radio loud flat
PKS 2155-152,21 58 06.3,-15 01 10,0.672,19.1,1770.,0.192,QSO radio loud flat
Q 2155-2139,21 58 25.7,-21 25 14,2.100,19.2,0.,0.000,QSO radio quiet
Q 2155-1728,21 58 24.5,-17 14 36,2.005,18.6,0.,0.000,QSO radio quiet
21556-302,21 58 34.0,-30 00 05,2.200,18.6,0.,0.000,QSO radio quiet
PB 5020,21 58 19.1,02 08 49,0.560,16.4,0.,0.000,Seyfert type 1
21558+034,21 58 22.8,03 43 54,1.900,18.7,0.,0.000,QSO radio quiet
Q 2155-1726,21 58 39.1,-17 11 44,2.220,18.4,0.,0.000,QSO radio quiet
PKS 2155-304,21 58 51.9,-30 13 31,0.117,13.5,310.,14.511,BL Lac
PKS 2155-304,21 58 51.9,-30 13 31,0.117,13.5,310.,14.511,BL Lac
2156-211,21 58 49.0,-20 57 02,0.450,20.5,0.,0.000,Galaxy unbarred
Q 2156-1819,21 58 49.7,-18 04 52,0.362,18.1,0.,0.000,QSO radio quiet
A09.51,21 59 03.9,-34 38 04,2.210,18.9,0.,0.000,QSO radio quiet
QSM7:28,21 58 58.3,-19 27 30,0.832,20.1,0.,0.000,QSO radio quiet
QSM7:46,21 59 01.5,-19 15 13,0.725,20.1,0.,0.000,Galaxy unbarred
2156-191,21 59 11.3,-18 56 10,2.390,19.3,0.,0.000,QSO radio quiet
B2 2156+29,21 58 42.0,29 59 08,1.759,20.1,432.,0.000,QSO radio loud steep
QSM7:42,21 59 15.1,-19 13 59,1.671,19.5,0.,0.000,QSO radio quiet
QSM8:35,21 59 17.8,-18 25 25,1.500,19.6,0.,0.000,QSO radio quiet
Q 2156-2134,21 59 31.2,-21 20 29,2.960,19.0,0.,0.000,QSO radio quiet
QSM7:61,21 59 32.4,-19 05 02,1.959,20.4,0.,0.000,QSO radio quiet
Q 2156-2104,21 59 34.0,-20 50 24,2.900,19.0,0.,0.000,QSO radio quiet
Q 2156-2026,21 59 35.2,-20 11 57,1.890,18.4,0.,0.000,QSO radio quiet
A09.60,21 59 54.5,-35 42 51,1.800,16.7,0.,0.000,QSO radio quiet
Q 2156-1737,21 59 41.3,-17 22 58,1.820,19.1,0.,0.000,QSO radio quiet
Q 2156-1925,21 59 45.2,-19 11 25,1.880,18.9,0.,0.000,QSO radio quiet
