Name,RA(2000),DEC(2000),redsh,Vmag,Radio Fl,X Fl(mJ,Class
ESO 538-G25,00 10 54.7,-21 04 07,0.026,14.4,0.,0.000,Seyfert type 2
Q 0008+008,00 10 57.6,01 10 12,3.084,18.7,0.,0.000,QSO radio quiet
PKS 0008-264,00 11 01.3,-26 12 33,1.093,18.7,810.,0.000,QSO radio loud flat
MARK  938,00 11 06.6,-12 06 27,0.019,13.5,26.,0.000,Seyfert type 2
Q 0008+018B,00 11 25.8,02 07 56,2.290,18.2,0.,0.000,QSO radio quiet
Q 0008+006,00 11 29.9,00 55 47,2.280,18.2,0.,0.000,QSO radio quiet
Q 0008+005,00 11 31.5,00 47 20,0.290,18.0,0.,0.000,Galaxy unbarred
UM 211,00 12 10.9,-01 22 08,1.998,17.6,0.,0.000,QSO radio quiet
UM 212,00 12 14.8,-01 31 29,1.072,17.3,0.,0.000,QSO radio quiet
UM 213,00 12 17.9,-00 06 10,0.041,15.4,0.,0.000,Starburst galaxy
Q 0009+0219,00 12 19.6,02 36 35,2.642,17.7,0.,0.000,QSO radio quiet
PB 5794,00 12 21.2,-01 58 58,2.103,18.3,0.,0.000,QSO radio quiet
Q 0009+026A,00 12 31.4,02 56 20,0.360,18.5,0.,0.000,Galaxy unbarred
Q 0009+026B,00 12 32.3,02 57 16,0.510,17.7,0.,0.000,QSO radio quiet
PB 5797,00 12 35.8,02 03 27,0.587,17.7,0.,0.000,QSO radio quiet
Q 0010+001A,00 12 39.8,00 24 32,0.580,18.2,0.,0.000,QSO radio quiet
PKS 0010-408,00 12 40.5,-40 33 29,1.500,17.7,230.,0.000,QSO radio loud flat
Q 0010-000A,00 12 46.6,00 12 37,2.140,18.2,0.,0.000,QSO radio quiet
PB 5798,00 12 52.5,00 28 32,1.611,18.3,0.,0.000,QSO radio quiet
PB 5800,00 12 55.6,01 47 51,0.433,18.4,3.,0.000,QSO radio loud
S5 0010+77,00 13 11.6,77 48 46,0.326,17.1,781.,0.000,Radio Galaxy
S50010+775,00 13 11.7,77 48 47,0.326,18.0,781.,0.000,Radio Galaxy
Q 0010+0049,00 12 57.7,01 06 03,1.061,18.4,0.,0.000,QSO radio quiet
Q 0010+017,00 12 58.4,02 03 07,2.240,17.7,0.,0.000,QSO radio quiet
Q 0010-002B,00 13 06.2,00 04 32,2.145,18.2,0.,0.000,QSO radio quiet
Q 0010+0221,00 13 09.5,02 38 10,0.083,17.2,0.,0.000,Galaxy unbarred
Q 0010+0219,00 13 13.7,02 36 16,0.088,17.1,0.,0.000,Galaxy unbarred
PB 5801,00 13 27.3,00 52 32,0.363,17.5,0.,0.000,QSO radio quiet
Q 0010+008,00 13 27.5,01 06 46,3.076,19.2,0.,0.000,QSO radio quiet
1Jy0010+405,00 13 31.0,40 51 37,0.255,17.9,1050.,0.172,Radio Galaxy
S40010+405,00 13 31.0,40 51 37,0.255,17.9,1050.,0.172,Radio Galaxy
4C 40.01,00 13 31.1,40 51 36,0.255,17.3,1050.,0.172,Radio Galaxy
S40011+344,00 13 44.4,34 41 42,0.000,0.0,521.,0.000,unidentified
PB 5808,00 14 00.4,00 42 56,1.704,18.4,0.,0.000,QSO radio quiet
AC 118-171,00 14 14.3,-30 22 40,0.323,20.3,0.,0.000,Galaxy unbarred
PB 5810,00 14 17.5,-02 10 46,1.220,17.9,0.,0.000,QSO radio quiet
MARK  940,00 14 22.3,34 12 09,0.064,15.5,0.,0.000,Galaxy unbarred
C17.05,00 14 32.9,-46 31 00,2.220,17.9,0.,0.000,QSO radio quiet
UM 221,00 14 44.1,-00 00 19,1.559,16.7,0.,0.000,QSO radio quiet
UM 222,00 14 51.5,00 56 55,1.464,18.3,0.,0.000,QSO radio quiet
